,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,predtest,Residual,,
4711,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7,6.357036298,-0.642963702,,
4713,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,5.852823978,-0.147176022,,
4715,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,7,6.161714109,-0.838285891,,
4721,6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,5,6.200769123,1.200769123,,
4735,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,6,6.546421514,0.546421514,,
4740,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6,6.54891333,0.54891333,,
4741,6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5,5.393363109,0.393363109,,
4743,6,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,6,5.976276251,-0.023723749,,
4747,6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6,5.577171811,-0.422828189,,
4751,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,6.364032821,1.364032821,,
4755,6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6,5.816352859,-0.183647141,,
4758,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,6.749487074,-0.250512926,,
4761,6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6,6.013225767,0.013225767,,
4762,6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6,5.852637066,-0.147362934,,
4770,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,5.966099943,-0.033900057,,
4772,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,5.966099943,-0.033900057,,
4782,5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,5,5.558173072,0.558173072,,
4784,6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6,5.366634525,-0.633365475,,
4796,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,6.321308862,-0.678691138,,
4800,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4,6,5.746882208,-0.253117792,,
4804,6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7,6.361892714,-0.638107286,,
4808,6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6,6.236290234,0.236290234,,
4815,5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6,6.382644179,0.382644179,,
4817,6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6,5.730498077,-0.269501923,,
4823,6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6,6.082101893,0.082101893,,
4832,5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6,5.058411674,-0.941588326,,
4834,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6,6.104801193,0.104801193,,
4836,5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,6,6.056111172,0.056111172,,
4838,6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,6.752650159,0.752650159,,
4839,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,6.187439804,0.187439804,,
4841,6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,7,6.453407361,-0.546592639,,
4843,6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6,6.098341789,0.098341789,,
4865,6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,5,5.06280925,0.06280925,,
4873,6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5,5.669466153,0.669466153,,
4880,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6,5.701276487,-0.298723513,,
4881,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6,5.701276487,-0.298723513,,
